WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-74,33.887693,-118.029543,27.5,90,WIFI
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:25:29,1,-74,33.887693,-118.029543,27.5,90,WIFI
E0:CB:BC:91:97:63,Starbucks WiFi,[ESS],2023-3-5 2:25:29,1,-74,33.887693,-118.029543,27.5,90,WIFI
1C:B9:C4:7B:D5:93,Recover.Me-3BD590,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,9,-82,33.887693,-118.029543,27.5,90,WIFI
52:AB:F8:0C:DF:7A,Verizon_9KFYY4_Guest,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:39:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:88:39:28,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:39:29,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:48:39:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-90,33.887693,-118.029543,27.5,90,WIFI
4C:AB:F8:0C:DF:7A,Verizon_9KFYY4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:CA:2A:08,DWW-SFS,[WEP][ESS],2023-3-5 2:25:29,11,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:0A:2A:09,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,11,-87,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:4A:2A:09,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-86,33.887693,-118.029543,27.5,90,WIFI
0E:8D:9B:DF:BA:91,MVP-West Employee,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-87,33.887693,-118.029543,27.5,90,WIFI
A8:97:CD:CA:61:80,Frontier0576,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-85,33.887693,-118.029543,27.5,90,WIFI
0E:8D:9B:DF:BA:92,MVP-West Guest,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-90,33.887693,-118.029543,27.5,90,WIFI
38:4C:90:90:82:C0,DG1670AC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-84,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:48:60:28,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-88,33.887693,-118.029543,27.5,90,WIFI
0C:F4:D5:5B:74:79,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-91,33.887693,-118.029543,27.5,90,WIFI
04:18:D6:C2:29:AF,DWW-IT-WiFi-Extender,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-84,33.887693,-118.029543,27.5,90,WIFI
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:25:29,1,-74,33.887693,-118.029543,27.5,90,WIFI
00:80:AE:C0:83:81,hug2g843283,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-81,33.887693,-118.029543,27.5,90,WIFI
E8:1D:A8:3D:8B:58,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-84,33.887693,-118.029543,27.5,90,WIFI
E8:1D:A8:7D:8B:58,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-84,33.887693,-118.029543,27.5,90,WIFI
E8:1D:A8:BD:8B:58,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-83,33.887693,-118.029543,27.5,90,WIFI
E8:1D:A8:FD:8B:58,DWW-SFS,[WEP][ESS],2023-3-5 2:25:29,4,-85,33.887693,-118.029543,27.5,90,WIFI
E8:1D:A8:3D:8B:59,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,4,-83,33.887693,-118.029543,27.5,90,WIFI
E8:1D:A8:7D:8B:59,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,4,-82,33.887693,-118.029543,27.5,90,WIFI
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-75,33.887693,-118.029543,27.5,90,WIFI
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-75,33.887693,-118.029543,27.5,90,WIFI
84:A0:6E:CA:13:16,Affluent-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,6,-69,33.887693,-118.029543,27.5,90,WIFI
68:FF:7B:72:94:04,TP-LINK_Smart Plug_9404,B8:66:85:CD:4A:E6,MySpectrumWiFie0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,6,-76,33.887693,-118.029543,27.5,90,WIFI
E0:CB:BC:91:97:63,Starbucks WiFi,[ESS],2023-3-5 2:25:29,1,-76,33.887693,-118.029543,27.5,90,WIFI
